"Ajatempel","Kui tihti kasutad PowerPointi esitlusi? ","Kui tihti pead esitlustes vormindusprobleeme parandama?  ","  Millised probleemid tekivad kõige sagedamini?  ","Kui kaua kulub keskmiselt ühe esitluse korrastamiseks?  ","  Kuidas sa tavaliselt neid probleeme lahendad?  ","Kas kasutaksid tööriista, mis kontrollib .pptx faili ja leiab vormindusprobleemid automaatselt?  ","Kui tööriist parandaks ainult ohutud vormindusvead automaatselt, kas kasutaksid seda?  ","Kas oleksid valmis sellist tööriista testima (beta)?  ","Kas sul oleks muresid seoses esitlusfaili üleslaadimisega?  "
"2026/03/10 7:18:36 PM GMT +2","iga päev","sageli","fondid ei ühti","5–10 min","parandan käsitsi","jah kindlasti","jah kindlasti","jah","konfidentsiaalsus"
"2026/03/11 8:21:49 AM GMT +2","mitu korda nädalas","peaaegu iga kord","tekstide spacing on erinev","5–10 min","kasutan Slide Masterit","jah kindlasti","jah kindlasti","jah","ei oleks probleemi"
"2026/03/11 8:28:33 AM GMT +2","paar korda kuus","mõnikord","Kui olen ise liiga palju teksti põhjale kopeerinud või kui soovin lisavormingut, mida eelloodud põhi ei paku","üle 40 min","parandan käsitsi","pigem mitte","võib-olla","jah","ei oleks probleemi"
"2026/03/11 9:05:20 AM GMT +2","mitu korda nädalas","sageli","bulletite spacing on erinev;tekstide spacing on erinev;fondid ei ühti;värvid ei ole ühtsed;layout läheb katki","10–20 min","parandan käsitsi","jah kindlasti","jah kindlasti","jah","ei oleks probleemi"
"2026/03/11 9:39:54 AM GMT +2","mitu korda nädalas","peaaegu iga kord","bulletite spacing on erinev;tekstide spacing on erinev;fondid ei ühti;layout läheb katki","10–20 min","kasutan Slide Masterit","jah kindlasti","tõenäoliselt","jah","konfidentsiaalsus"
"2026/03/11 10:36:00 AM GMT +2","paar korda kuus","mõnikord","tekstide spacing on erinev;objektid ei ole joondatud","5–10 min","parandan käsitsi","tõenäoliselt","tõenäoliselt","jah","ei oleks probleemi"
"2026/03/11 3:31:09 PM GMT +2","paar korda kuus","sageli","tekstide spacing on erinev;fondid ei ühti","20–40 min","parandan käsitsi","jah kindlasti","jah kindlasti","jah","konfidentsiaalsus"
"2026/03/11 5:17:13 PM GMT +2","kord nädalas","sageli","layout läheb katki","10–20 min","parandan käsitsi","tõenäoliselt","tõenäoliselt","jah","ei oleks probleemi"
"2026/03/11 10:16:06 PM GMT +2","harvem","sageli","bulletite spacing on erinev;tekstide spacing on erinev;objektid ei ole joondatud","20–40 min","parandan käsitsi","tõenäoliselt","tõenäoliselt","jah","ei oleks probleemi"
"2026/03/12 12:10:37 AM GMT +2","kord nädalas","sageli","fondid ei ühti;mingi template'i visuaal kuhu on sisse kooditud mingi disain, siis on seda üliraske muuta, aga tihti on vaja","üle 40 min","parandan käsitsi","võib-olla","tõenäoliselt","jah","ei oleks probleemi"
"2026/03/12 8:00:31 AM GMT +2","paar korda kuus","mõnikord","bulletite spacing on erinev;tekstide spacing on erinev;fondid ei ühti;objektid ei ole joondatud;värvid ei ole ühtsed;layout läheb katki","20–40 min","parandan käsitsi","tõenäoliselt","tõenäoliselt","jah","konfidentsiaalsus"
"2026/03/12 9:41:28 AM GMT +2","harvem","mõnikord","fondid ei ühti","alla 5 min","kasutan Slide Masterit","","võib-olla","ei","konfidentsiaalsus;failide turvalisus"
"2026/03/12 9:58:39 AM GMT +2","harvem","mitte kunagi","Pole probleeme olnud.","5–10 min","Pole probleemi, pole lahendust.","pigem mitte","pigem mitte","ei","konfidentsiaalsus;failide turvalisus"
"2026/03/12 11:56:33 AM GMT +2","mitu korda nädalas","peaaegu iga kord","tekstide spacing on erinev;fondid ei ühti;objektid ei ole joondatud;värvid ei ole ühtsed;layout läheb katki","10–20 min","parandan käsitsi","tõenäoliselt","tõenäoliselt","võib-olla","konfidentsiaalsus;failide turvalisus"
"2026/03/12 12:24:27 PM GMT +2","iga päev","peaaegu iga kord","bulletite spacing on erinev;tekstide spacing on erinev;fondid ei ühti;objektid ei ole joondatud;layout läheb katki","10–20 min","parandan käsitsi","jah kindlasti","jah kindlasti","jah","ei oleks probleemi"
"2026/03/12 12:25:00 PM GMT +2","mitu korda nädalas","peaaegu iga kord","tekstide spacing on erinev;fondid ei ühti;värvid ei ole ühtsed","5–10 min","kasutan Slide Masterit","jah kindlasti","tõenäoliselt","jah","ei oleks probleemi"
"2026/03/12 12:26:13 PM GMT +2","kord nädalas","sageli","bulletite spacing on erinev;tekstide spacing on erinev;fondid ei ühti;layout läheb katki","20–40 min","parandan käsitsi","jah kindlasti","tõenäoliselt","jah","failide turvalisus"
"2026/03/12 12:27:44 PM GMT +2","mitu korda nädalas","sageli","bulletite spacing on erinev;tekstide spacing on erinev;fondid ei ühti;objektid ei ole joondatud;värvid ei ole ühtsed;layout läheb katki","10–20 min","parandan käsitsi","jah kindlasti","jah kindlasti","jah","konfidentsiaalsus;failide turvalisus"
"2026/03/12 1:21:25 PM GMT +2","mitu korda nädalas","peaaegu iga kord","bulletite spacing on erinev;tekstide spacing on erinev;fondid ei ühti;objektid ei ole joondatud;värvid ei ole ühtsed;layout läheb katki","10–20 min","parandan käsitsi","jah kindlasti","jah kindlasti","jah","ei oleks probleemi"
"2026/03/12 1:22:05 PM GMT +2","iga päev","sageli","bulletite spacing on erinev;tekstide spacing on erinev;fondid ei ühti;objektid ei ole joondatud","20–40 min","","jah kindlasti","jah kindlasti","jah","ei oleks probleemi"
